순번,제품군,스마트타입,시리즈,미디어,제조사(한),제조사(EN),모델(표시),섀시코드,연식(中),연식(EN),세부분류(한),Category(EN),앰비언트세부,부속옵션,구성·특징(中),구성·특징(한),Config(EN),세트(中),세트(EN),등수(灯),핸들(中),핸들(한),핸들(EN),호환차종(中),워터마크,비고,원본파일명,표준파일명,분류경로,해상도(px),용량(MB),썸네일
36,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLE,E16,12-15款,2012-2015,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 银河 幻彩,앰비언트라이트 갤럭시 환색,Ambient-Light-Galaxy-RGB,,,24,,,,15-19款奔驰GLE16-19GLS氛围灯(幻彩),Y,,12-15款奔驰ML13-15GL氛围灯（幻彩）-钢琴银河款【15-19款奔驰GLE16-19GLS氛围灯（幻彩）】-24灯（水印版）.jpg,036_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-RGB_24L.jpg,images/01_Ambient-Light/Mercedes-Benz/GLE/2012-2015/036_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-RGB_24L.jpg,2000x2000,1.25,thumbs/036_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-RGB_24L.jpg
37,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLE,E16,12-15款,2012-2015,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 银河 幻彩,앰비언트라이트 갤럭시 환색,Ambient-Light-Galaxy-RGB,,,,,,,15-19款奔驰GLE16-19GLS氛围灯(幻彩),Y,,12-15款奔驰ML13-15GL氛围灯（幻彩）-钢琴银河款【15-19款奔驰GLE16-19GLS氛围灯（幻彩）】（水印版）.jpg,037_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/GLE/2012-2015/037_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-RGB.jpg,2000x2000,1.21,thumbs/037_Mercedes-Benz_GLE_E16_2012-2015_Ambient-Light-Galaxy-RGB.jpg
38,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,CLS,W218,12-17款,2012-2017,앰비언트 라이트,Ambient-Light,등수형,트위터,氛围灯 高音,앰비언트라이트 트위터,Ambient-Light-Tweeter,,,,,,,,Y,,12-17款奔驰CLS W218氛围灯 高音喇叭 (水印版）.jpg,038_Mercedes-Benz_CLS_W218_2012-2017_Ambient-Light-Tweeter.jpg,images/01_Ambient-Light/Mercedes-Benz/CLS/2012-2017/038_Mercedes-Benz_CLS_W218_2012-2017_Ambient-Light-Tweeter.jpg,2000x2000,0.81,thumbs/038_Mercedes-Benz_CLS_W218_2012-2017_Ambient-Light-Tweeter.jpg
39,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,CLS,W218,12-17款,2012-2017,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,,,22,,,,,Y,,12-17款奔驰CLS W218氛围灯（幻彩）-22灯 (水印版）.jpg,039_Mercedes-Benz_CLS_W218_2012-2017_Ambient-Light-RGB_22L.jpg,images/01_Ambient-Light/Mercedes-Benz/CLS/2012-2017/039_Mercedes-Benz_CLS_W218_2012-2017_Ambient-Light-RGB_22L.jpg,2000x2000,1.01,thumbs/039_Mercedes-Benz_CLS_W218_2012-2017_Ambient-Light-RGB_22L.jpg
40,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,CLS,W218,12-17款,2012-2017,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,,,29,,,,,Y,,12-17款奔驰CLS W218氛围灯（幻彩）-29灯 (水印版）.jpg,040_Mercedes-Benz_CLS_W218_2012-2017_Ambient-Light-RGB_29L.jpg,images/01_Ambient-Light/Mercedes-Benz/CLS/2012-2017/040_Mercedes-Benz_CLS_W218_2012-2017_Ambient-Light-RGB_29L.jpg,2000x2000,1.21,thumbs/040_Mercedes-Benz_CLS_W218_2012-2017_Ambient-Light-RGB_29L.jpg
41,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLA,W156,13-19款,2013-2019,앰비언트 라이트,Ambient-Light,등수형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,,,22,右肽,우핸들,RHD,,Y,,13-19款奔驰GLA W156 CLA W117氛围灯（主动式幻彩）-22灯 右肽（水印版）.jpg,041_Mercedes-Benz_GLA_W156_2013-2019_Active-RGB-Ambient-Light-RGB_22L_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/GLA/2013-2019/041_Mercedes-Benz_GLA_W156_2013-2019_Active-RGB-Ambient-Light-RGB_22L_RHD.jpg,2000x2000,1.23,thumbs/041_Mercedes-Benz_GLA_W156_2013-2019_Active-RGB-Ambient-Light-RGB_22L_RHD.jpg
42,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLA,W156,13-19款,2013-2019,앰비언트 라이트,Ambient-Light,등수형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,,,22,,,,,Y,,13-19款奔驰GLA W156 CLA W117氛围灯（主动式幻彩）-22灯（水印版）.jpg,042_Mercedes-Benz_GLA_W156_2013-2019_Active-RGB-Ambient-Light-RGB_22L.jpg,images/01_Ambient-Light/Mercedes-Benz/GLA/2013-2019/042_Mercedes-Benz_GLA_W156_2013-2019_Active-RGB-Ambient-Light-RGB_22L.jpg,2000x2000,1.23,thumbs/042_Mercedes-Benz_GLA_W156_2013-2019_Active-RGB-Ambient-Light-RGB_22L.jpg
43,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLA,W156,13-19款,2013-2019,앰비언트 라이트,Ambient-Light,등수형,,,,,,,17,右肽,우핸들,RHD,右肽,Y,,13-19款奔驰Gla w156 w117 13-18款奔驰A级w176 13-19款奔驰B级w246【右肽】-17灯（水印版）.jpg,043_Mercedes-Benz_GLA_W156_2013-2019_17L_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/GLA/2013-2019/043_Mercedes-Benz_GLA_W156_2013-2019_17L_RHD.jpg,2000x2000,1.08,thumbs/043_Mercedes-Benz_GLA_W156_2013-2019_17L_RHD.jpg
44,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLA,W156,13-19款,2013-2019,앰비언트 라이트,Ambient-Light,등수형,,主动式幻彩 幻彩,액티브환색 환색,Active-RGB-RGB,,,28,,,,,Y,,13-19款奔驰Gla w156 w117 13-18款奔驰A级w176 13-19款奔驰B级w246（主动式幻彩）-28灯（水印版）.jpg,044_Mercedes-Benz_GLA_W156_2013-2019_Active-RGB-RGB_28L.jpg,images/01_Ambient-Light/Mercedes-Benz/GLA/2013-2019/044_Mercedes-Benz_GLA_W156_2013-2019_Active-RGB-RGB_28L.jpg,2000x2000,1.21,thumbs/044_Mercedes-Benz_GLA_W156_2013-2019_Active-RGB-RGB_28L.jpg
45,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLA,W156,13-19款,2013-2019,앰비언트 라이트,Ambient-Light,등수형,,主动式幻彩 幻彩,액티브환색 환색,Active-RGB-RGB,,,31,右肽,우핸들,RHD,右肽,Y,,13-19款奔驰Gla w156 w117 13-18款奔驰A级w176 13-19款奔驰B级w246（主动式幻彩）【右肽】-31灯（水印版）.jpg,045_Mercedes-Benz_GLA_W156_2013-2019_Active-RGB-RGB_31L_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/GLA/2013-2019/045_Mercedes-Benz_GLA_W156_2013-2019_Active-RGB-RGB_31L_RHD.jpg,2000x2000,1.22,thumbs/045_Mercedes-Benz_GLA_W156_2013-2019_Active-RGB-RGB_31L_RHD.jpg
46,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,S클래스,,14-20款,2014-2020,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,,,20,,,,,Y,,14-20款奔驰S级氛围灯（幻彩）-20灯（水印版）.jpg,046_Mercedes-Benz_S-Class_2014-2020_Ambient-Light-RGB_20L.jpg,images/01_Ambient-Light/Mercedes-Benz/S-Class/2014-2020/046_Mercedes-Benz_S-Class_2014-2020_Ambient-Light-RGB_20L.jpg,2000x2000,1.09,thumbs/046_Mercedes-Benz_S-Class_2014-2020_Ambient-Light-RGB_20L.jpg
47,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,S클래스,,14-20款,2014-2020,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,,,,,,,,Y,,14-20款奔驰S级氛围灯（幻彩）（水印版）.jpg,047_Mercedes-Benz_S-Class_2014-2020_Ambient-Light-RGB.jpg,images/01_Ambient-Light/Mercedes-Benz/S-Class/2014-2020/047_Mercedes-Benz_S-Class_2014-2020_Ambient-Light-RGB.jpg,2000x2000,1.08,thumbs/047_Mercedes-Benz_S-Class_2014-2020_Ambient-Light-RGB.jpg
48,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,,,,七件套,7-piece,,,,,,Y,,15-21款奔驰C级 七件套（水印版）.jpg,048_Mercedes-Benz_C-Class_2015-2021_7-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2015-2021/048_Mercedes-Benz_C-Class_2015-2021_7-piece.jpg,2000x2000,1.01,thumbs/048_Mercedes-Benz_C-Class_2015-2021_7-piece.jpg
49,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLC,W205,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,氛围灯,앰비언트라이트,Ambient-Light,七件套,7-piece,,右肽,우핸들,RHD,,Y,,15-21款奔驰C级W205 GLC w253氛围灯七件套（右肽）（水印版）.jpg,049_Mercedes-Benz_GLC_W205_2015-2021_Ambient-Light_7-piece_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/GLC/2015-2021/049_Mercedes-Benz_GLC_W205_2015-2021_Ambient-Light_7-piece_RHD.jpg,2000x2000,1.11,thumbs/049_Mercedes-Benz_GLC_W205_2015-2021_Ambient-Light_7-piece_RHD.jpg
50,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLC,W205,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,七件套,7-piece,,右肽,우핸들,RHD,,Y,,15-21款奔驰C级W205 GLC w253氛围灯（主动式幻彩）七件套（右肽）（水印版）.jpg,050_Mercedes-Benz_GLC_W205_2015-2021_Active-RGB-Ambient-Light-RGB_7-piece_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/GLC/2015-2021/050_Mercedes-Benz_GLC_W205_2015-2021_Active-RGB-Ambient-Light-RGB_7-piece_RHD.jpg,2000x2000,1.14,thumbs/050_Mercedes-Benz_GLC_W205_2015-2021_Active-RGB-Ambient-Light-RGB_7-piece_RHD.jpg
51,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W205,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 coupe,앰비언트라이트 쿠페,Ambient-Light-Coupe,五件套,5-piece,,右肽,우핸들,RHD,,Y,,15-21款奔驰C级W205氛围灯 coupe五件套（右肽）（水印版）.jpg,051_Mercedes-Benz_C-Class_W205_2015-2021_Ambient-Light-Coupe_5-piece_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2015-2021/051_Mercedes-Benz_C-Class_W205_2015-2021_Ambient-Light-Coupe_5-piece_RHD.jpg,2000x2000,1.06,thumbs/051_Mercedes-Benz_C-Class_W205_2015-2021_Ambient-Light-Coupe_5-piece_RHD.jpg
52,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,W205,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 coupe,앰비언트라이트 쿠페,Ambient-Light-Coupe,四件套,4-piece,,右肽,우핸들,RHD,,Y,,15-21款奔驰C级W205氛围灯 coupe四件套（右肽）（水印版）.jpg,052_Mercedes-Benz_C-Class_W205_2015-2021_Ambient-Light-Coupe_4-piece_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2015-2021/052_Mercedes-Benz_C-Class_W205_2015-2021_Ambient-Light-Coupe_4-piece_RHD.jpg,2000x2000,0.93,thumbs/052_Mercedes-Benz_C-Class_W205_2015-2021_Ambient-Light-Coupe_4-piece_RHD.jpg
53,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,氛围灯,앰비언트라이트,Ambient-Light,七件套,7-piece,30,右肽,우핸들,RHD,,Y,,15-21款奔驰C级右肽 氛围灯七件套-30灯 (水印版).jpg,053_Mercedes-Benz_C-Class_2015-2021_Ambient-Light_7-piece_30L_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2015-2021/053_Mercedes-Benz_C-Class_2015-2021_Ambient-Light_7-piece_30L_RHD.jpg,2000x2000,1.19,thumbs/053_Mercedes-Benz_C-Class_2015-2021_Ambient-Light_7-piece_30L_RHD.jpg
54,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,氛围灯,앰비언트라이트,Ambient-Light,七件套,7-piece,30,左肽,좌핸들,LHD,,Y,,15-21款奔驰C级左肽 氛围灯七件套-30灯 (水印版).jpg,054_Mercedes-Benz_C-Class_2015-2021_Ambient-Light_7-piece_30L_LHD.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2015-2021/054_Mercedes-Benz_C-Class_2015-2021_Ambient-Light_7-piece_30L_LHD.jpg,2000x2000,1.18,thumbs/054_Mercedes-Benz_C-Class_2015-2021_Ambient-Light_7-piece_30L_LHD.jpg
55,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,氛围灯,앰비언트라이트,Ambient-Light,七件套,7-piece,30,,,,,Y,,15-21款奔驰C级氛围灯七件套-30灯 (水印版）.jpg,055_Mercedes-Benz_C-Class_2015-2021_Ambient-Light_7-piece_30L.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2015-2021/055_Mercedes-Benz_C-Class_2015-2021_Ambient-Light_7-piece_30L.jpg,2000x2000,1.16,thumbs/055_Mercedes-Benz_C-Class_2015-2021_Ambient-Light_7-piece_30L.jpg
56,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,七件套,7-piece,30,右肽,우핸들,RHD,,Y,,15-21款奔驰C级（主动式幻彩）右肽 氛围灯七件套-30灯(水印版）.jpg,056_Mercedes-Benz_C-Class_2015-2021_Active-RGB-Ambient-Light-RGB_7-piece_30L_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2015-2021/056_Mercedes-Benz_C-Class_2015-2021_Active-RGB-Ambient-Light-RGB_7-piece_30L_RHD.jpg,2000x2000,1.22,thumbs/056_Mercedes-Benz_C-Class_2015-2021_Active-RGB-Ambient-Light-RGB_7-piece_30L_RHD.jpg
57,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,C클래스,,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,七件套,7-piece,30,,,,,Y,,15-21款奔驰C级（主动式幻彩）氛围灯七件套-30灯(水印版）.jpg,057_Mercedes-Benz_C-Class_2015-2021_Active-RGB-Ambient-Light-RGB_7-piece_30L.jpg,images/01_Ambient-Light/Mercedes-Benz/C-Class/2015-2021/057_Mercedes-Benz_C-Class_2015-2021_Active-RGB-Ambient-Light-RGB_7-piece_30L.jpg,2000x2000,1.2,thumbs/057_Mercedes-Benz_C-Class_2015-2021_Active-RGB-Ambient-Light-RGB_7-piece_30L.jpg
58,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLC,W253,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 原车自带,앰비언트라이트 순정장착,Ambient-Light-OEM-Equipped,五件套,5-piece,,右肽,우핸들,RHD,右肽,Y,,15-21款奔驰GLC W253 C CLASS W205氛围灯五件套 原车自带氛围灯【右肽】（水印版）.jpg,058_Mercedes-Benz_GLC_W253_2015-2021_Ambient-Light-OEM-Equipped_5-piece_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/GLC/2015-2021/058_Mercedes-Benz_GLC_W253_2015-2021_Ambient-Light-OEM-Equipped_5-piece_RHD.jpg,2000x2000,0.93,thumbs/058_Mercedes-Benz_GLC_W253_2015-2021_Ambient-Light-OEM-Equipped_5-piece_RHD.jpg
59,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLC,W253,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 原车自带,앰비언트라이트 순정장착,Ambient-Light-OEM-Equipped,六件套,6-piece,,右肽,우핸들,RHD,右肽,Y,,15-21款奔驰GLC W253 C CLASS W205氛围灯六件套 原车自带氛围灯【右肽】（水印版）.jpg,059_Mercedes-Benz_GLC_W253_2015-2021_Ambient-Light-OEM-Equipped_6-piece_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/GLC/2015-2021/059_Mercedes-Benz_GLC_W253_2015-2021_Ambient-Light-OEM-Equipped_6-piece_RHD.jpg,2000x2000,0.98,thumbs/059_Mercedes-Benz_GLC_W253_2015-2021_Ambient-Light-OEM-Equipped_6-piece_RHD.jpg
60,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLC,W253,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,氛围灯,앰비언트라이트,Ambient-Light,六件套,6-piece,,右肽,우핸들,RHD,右肽,Y,,15-21款奔驰GLC W253 C CLASS W205氛围灯六件套【右肽】（水印版）.jpg,060_Mercedes-Benz_GLC_W253_2015-2021_Ambient-Light_6-piece_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/GLC/2015-2021/060_Mercedes-Benz_GLC_W253_2015-2021_Ambient-Light_6-piece_RHD.jpg,2000x2000,1.09,thumbs/060_Mercedes-Benz_GLC_W253_2015-2021_Ambient-Light_6-piece_RHD.jpg
61,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLC,,15-21款,2015-2021,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,七件套,7-piece,30,,,,,Y,,15-21款奔驰GLC（主动式幻彩）氛围灯七件套-30灯 (水印版）.jpg,061_Mercedes-Benz_GLC_2015-2021_Active-RGB-Ambient-Light-RGB_7-piece_30L.jpg,images/01_Ambient-Light/Mercedes-Benz/GLC/2015-2021/061_Mercedes-Benz_GLC_2015-2021_Active-RGB-Ambient-Light-RGB_7-piece_30L.jpg,2000x2000,1.19,thumbs/061_Mercedes-Benz_GLC_2015-2021_Active-RGB-Ambient-Light-RGB_7-piece_30L.jpg
62,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLC,W253,15-22款,2015-2022,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,八件套,8-piece,,右肽,우핸들,RHD,右肽,Y,,15-22款奔驰GLC W253 C CLASS W205氛围灯(主动式幻彩)八件套【右肽】（水印版）.jpg,062_Mercedes-Benz_GLC_W253_2015-2022_Active-RGB-Ambient-Light-RGB_8-piece_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/GLC/2015-2022/062_Mercedes-Benz_GLC_W253_2015-2022_Active-RGB-Ambient-Light-RGB_8-piece_RHD.jpg,2000x2000,1.15,thumbs/062_Mercedes-Benz_GLC_W253_2015-2022_Active-RGB-Ambient-Light-RGB_8-piece_RHD.jpg
63,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLC,W253,15-22款,2015-2022,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 银河 幻彩,액티브환색 앰비언트라이트 갤럭시 환색,Active-RGB-Ambient-Light-Galaxy-RGB,八件套,8-piece,,右肽,우핸들,RHD,右肽,Y,,15-22款奔驰GLC W253 C CLASS W205氛围灯(主动式幻彩)银河款八件套【右肽】（水印版）.jpg,063_Mercedes-Benz_GLC_W253_2015-2022_Active-RGB-Ambient-Light-Galaxy-RGB_8-piece_RHD.jpg,images/01_Ambient-Light/Mercedes-Benz/GLC/2015-2022/063_Mercedes-Benz_GLC_W253_2015-2022_Active-RGB-Ambient-Light-Galaxy-RGB_8-piece_RHD.jpg,2000x2000,1.16,thumbs/063_Mercedes-Benz_GLC_W253_2015-2022_Active-RGB-Ambient-Light-Galaxy-RGB_8-piece_RHD.jpg
64,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,GLC,,15-22款,2015-2022,앰비언트 라이트,Ambient-Light,세트형,,,,,七件套,7-piece,,,,,,Y,,15-22款奔驰GLC级 七件套（水印版）.jpg,064_Mercedes-Benz_GLC_2015-2022_7-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/GLC/2015-2022/064_Mercedes-Benz_GLC_2015-2022_7-piece.jpg,2000x2000,1.01,thumbs/064_Mercedes-Benz_GLC_2015-2022_7-piece.jpg
65,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,W213,16-20款,2016-2020,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,五件套,5-piece,,,,,,Y,,16-20款奔驰E级W213氛围灯（主动式幻彩）五件套（水印版）.jpg,065_Mercedes-Benz_E-Class_W213_2016-2020_Active-RGB-Ambient-Light-RGB_5-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2016-2020/065_Mercedes-Benz_E-Class_W213_2016-2020_Active-RGB-Ambient-Light-RGB_5-piece.jpg,2000x2000,1.28,thumbs/065_Mercedes-Benz_E-Class_W213_2016-2020_Active-RGB-Ambient-Light-RGB_5-piece.jpg
66,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,V클래스,V260,16-22款,2016-2022,앰비언트 라이트,Ambient-Light,등수형,송풍구,氛围灯 出风口 幻彩,앰비언트라이트 송풍구 환색,Ambient-Light-Air-Vent-RGB,,,18,,,,,Y,,16-22款奔驰V级V260带出风口氛围灯（幻彩）-18灯（水印版）.jpg,066_Mercedes-Benz_V-Class_V260_2016-2022_Ambient-Light-Air-Vent-RGB_18L.jpg,images/01_Ambient-Light/Mercedes-Benz/V-Class/2016-2022/066_Mercedes-Benz_V-Class_V260_2016-2022_Ambient-Light-Air-Vent-RGB_18L.jpg,2000x2000,1.14,thumbs/066_Mercedes-Benz_V-Class_V260_2016-2022_Ambient-Light-Air-Vent-RGB_18L.jpg
67,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,V클래스,V260,16-22款,2016-2022,앰비언트 라이트,Ambient-Light,등수형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,,,18,,,,,Y,,16-22款奔驰V级V260氛围灯（幻彩）-18灯（水印版）.jpg,067_Mercedes-Benz_V-Class_V260_2016-2022_Ambient-Light-RGB_18L.jpg,images/01_Ambient-Light/Mercedes-Benz/V-Class/2016-2022/067_Mercedes-Benz_V-Class_V260_2016-2022_Ambient-Light-RGB_18L.jpg,2000x2000,1.18,thumbs/067_Mercedes-Benz_V-Class_V260_2016-2022_Ambient-Light-RGB_18L.jpg
68,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,W213,16-23款,2016-2023,앰비언트 라이트,Ambient-Light,세트형,,主动式幻彩 氛围灯 幻彩,액티브환색 앰비언트라이트 환색,Active-RGB-Ambient-Light-RGB,五件套,5-piece,,,,,,Y,,16-23款奔驰E级W213氛围灯（主动式幻彩）五件套（水印版）.jpg,068_Mercedes-Benz_E-Class_W213_2016-2023_Active-RGB-Ambient-Light-RGB_5-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2016-2023/068_Mercedes-Benz_E-Class_W213_2016-2023_Active-RGB-Ambient-Light-RGB_5-piece.jpg,2000x2000,1.37,thumbs/068_Mercedes-Benz_E-Class_W213_2016-2023_Active-RGB-Ambient-Light-RGB_5-piece.jpg
69,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,V클래스,V260,16-23款,2016-2023,앰비언트 라이트,Ambient-Light,등수형,발광커버,氛围灯 发光盖板,앰비언트라이트 발광커버,Ambient-Light-Illuminated-Cover,,,,,,,,Y,,16-23款奔驰V级V260 威霆氛围灯 发光盖板（水印版）.jpg,069_Mercedes-Benz_V-Class_V260_2016-2023_Ambient-Light-Illuminated-Cover.jpg,images/01_Ambient-Light/Mercedes-Benz/V-Class/2016-2023/069_Mercedes-Benz_V-Class_V260_2016-2023_Ambient-Light-Illuminated-Cover.jpg,2000x2000,1.14,thumbs/069_Mercedes-Benz_V-Class_V260_2016-2023_Ambient-Light-Illuminated-Cover.jpg
70,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,E클래스,W213,16-23款,2016-2023,앰비언트 라이트,Ambient-Light,세트형,,氛围灯 幻彩,앰비언트라이트 환색,Ambient-Light-RGB,七件套,7-piece,,,,,,Y,,16-23款奔驰W213氛围灯（幻彩）七件套（水印版）.jpg,070_Mercedes-Benz_E-Class_W213_2016-2023_Ambient-Light-RGB_7-piece.jpg,images/01_Ambient-Light/Mercedes-Benz/E-Class/2016-2023/070_Mercedes-Benz_E-Class_W213_2016-2023_Ambient-Light-RGB_7-piece.jpg,2000x2000,1.14,thumbs/070_Mercedes-Benz_E-Class_W213_2016-2023_Ambient-Light-RGB_7-piece.jpg
71,앰비언트 라이트,,구 카탈로그(中),image,벤츠,Mercedes-Benz,비토,,16-23款,2016-2023,상용밴 개조,Commercial-Conversion,,,氛围灯 商改 改结构 碳钎纹 幻彩,앰비언트라이트 상용개조 구조개조 카본무늬 환색,Ambient-Light-Commercial-Mod-Structure-Mod-Carbon-Pattern-RGB,,,24,,,,,Y,,16-23款奔驰威霆商改中控改结构氛围灯（幻彩）碳钎纹-24灯（水印版）.jpg,071_Mercedes-Benz_Vito_2016-2023_Ambient-Light-Commercial-Mod-Structure-Mod-Carbon-Pattern-RGB_24L.jpg,images/01_Ambient-Light/Mercedes-Benz/Vito/2016-2023/071_Mercedes-Benz_Vito_2016-2023_Ambient-Light-Commercial-Mod-Structure-Mod-Carbon-Pattern-RGB_24L.jpg,2000x2000,1.32,thumbs/071_Mercedes-Benz_Vito_2016-2023_Ambient-Light-Commercial-Mod-Structure-Mod-Carbon-Pattern-RGB_24L.jpg
